name,RA,DEC,zlens
SDSSJ0813+0959,123.31637,9.99806,0.1565
SDSSJ0818+5410,124.67104,54.17125,0.1163
SDSSJ0824+2242,126.1535,22.70072,0.2802
SDSSJ0826+5630,126.66604,56.50997,0.1318
SDSSJ0831+1940,127.76425,19.68242,0.0876
SDSSJ0832+1334,128.15454,13.57975,0.3968
SDSSJ0844+2113,131.21342,21.22119,0.1779
SDSSJ0847+2348,131.86533,23.80542,0.1551
SDSSJ0847+2925,131.97908,29.42567,0.1001
SDSSJ0849+2031,132.46462,20.52508,0.0844
SDSSJ0851+0505,132.92454,5.08528,0.1276
SDSSJ0901+5541,135.44279,55.68386,0.1163
SDSSJ0902+5158,135.68583,51.97572,0.1366
SDSSJ0914+0508,138.63304,5.14919,0.1355
SDSSJ0920+3028,140.20117,30.47175,0.2881
SDSSJ0920+3605,140.17558,36.089,0.1844
SDSSJ0926+0722,141.67167,7.37844,0.0756
SDSSJ0932+6153,143.16333,61.89519,0.1235
SDSSJ0948+3357,147.09371,33.95886,0.0814
SDSSJ0953+2248,148.34962,22.80681,0.0761
SDSSJ0955+3014,148.98954,30.24747,0.3214
SDSSJ0956+5539,149.22846,55.66308,0.1959
SDSSJ1009+0153,152.39329,1.88478,0.3352
SDSSJ1010+3124,152.61162,31.40489,0.1668
SDSSJ1012+5531,153.21571,55.52364,0.1711
SDSSJ1024+4014,156.22079,40.24111,0.0636
SDSSJ1031+3026,157.83754,30.44942,0.1671
SDSSJ1031+4218,157.93304,42.31647,0.1193
SDSSJ1039+1555,159.91096,15.92197,0.0837
SDSSJ1040+3626,160.24375,36.44128,0.1225
SDSSJ1041+0112,160.34517,1.20669,0.1006
SDSSJ1048+1313,162.03912,13.23136,0.133
SDSSJ1051+4439,162.78912,44.65233,0.1634
SDSSJ1056+4141,164.24,41.68739,0.1343
SDSSJ1101+1523,165.30467,15.39431,0.178
SDSSJ1102+3655,165.51387,36.92494,0.0937
SDSSJ1103+3625,165.79521,36.43053,0.1567
SDSSJ1116+0729,169.17358,7.49597,0.1697
SDSSJ1119+1357,169.93479,13.96289,0.0678
SDSSJ1121+5822,170.44212,58.38161,0.1751
SDSSJ1122+4748,170.67221,47.80628,0.1092
SDSSJ1127+2312,171.91121,23.21231,0.1303
SDSSJ1129+1953,172.32021,19.89664,0.1323
SDSSJ1137+1818,174.36917,18.30342,0.1241
SDSSJ1138+1134,174.73537,11.57669,0.1821
SDSSJ1142+2509,175.65925,25.1515,0.164
SDSSJ1144+0436,176.16717,4.61403,0.1036
SDSSJ1148+3103,177.01104,31.05672,0.1425
SDSSJ1150+2944,177.74179,29.73833,0.2354
SDSSJ1203+1558,180.83454,15.98311,0.2649
SDSSJ1213+2930,183.2655,29.50622,0.0906
SDSSJ1229+1615,187.39942,16.25547,0.1207
SDSSJ1230+6519,187.72271,65.32075,0.1274
SDSSJ1235+3919,188.83112,39.33156,0.0623
SDSSJ1238+6709,189.71504,67.15778,0.2312
SDSSJ1242+0248,190.62133,2.81042,0.2056
SDSSJ1248+4458,192.13467,44.98214,0.2628
